
                                              MFCS/win                    Report printed:                2025-02-07 15:48:52
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_32_1_control#3            Batch created:            2025-01-28 10:07:40

 Experiment Start:          2025-01-28 10:07:40                 Experiment Stop:          2025-01-31 11:21:49

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                  AFOAM

  Data
                                                      Value


 Date    /  Time                Age

28-01-2025 10:36:34             0.482   179769313486232000000000000000000   INVAL/OFF

28-01-2025 11:06:34             0.982   179769313486232000000000000000000   INVAL/OFF
28-01-2025 11:36:34             1.482   179769313486232000000000000000000   INVAL/OFF
28-01-2025 12:06:35             1.982   179769313486232000000000000000000   INVAL/OFF

28-01-2025 12:36:35             2.482   179769313486232000000000000000000   INVAL/OFF
28-01-2025 13:06:35             2.982   179769313486232000000000000000000   INVAL/OFF
28-01-2025 13:36:35             3.482   179769313486232000000000000000000   INVAL/OFF

28-01-2025 14:06:35             3.982   179769313486232000000000000000000   INVAL/OFF
28-01-2025 14:36:35             4.482   179769313486232000000000000000000   INVAL/OFF

28-01-2025 15:06:35             4.982   179769313486232000000000000000000   INVAL/OFF
28-01-2025 15:36:35             5.482   179769313486232000000000000000000   INVAL/OFF
28-01-2025 16:06:35             5.982   179769313486232000000000000000000   INVAL/OFF

28-01-2025 16:36:35             6.482   179769313486232000000000000000000   INVAL/OFF
28-01-2025 17:06:35             6.982   179769313486232000000000000000000   INVAL/OFF

28-01-2025 17:36:35             7.482   179769313486232000000000000000000   INVAL/OFF
28-01-2025 18:06:35             7.982   179769313486232000000000000000000   INVAL/OFF
28-01-2025 18:36:35             8.482   179769313486232000000000000000000   INVAL/OFF

28-01-2025 19:06:35             8.982   179769313486232000000000000000000   INVAL/OFF
28-01-2025 19:36:35             9.482   179769313486232000000000000000000   INVAL/OFF

28-01-2025 20:06:35             9.982   179769313486232000000000000000000   INVAL/OFF
28-01-2025 20:36:35            10.482   179769313486232000000000000000000   INVAL/OFF
28-01-2025 21:06:35            10.982   179769313486232000000000000000000   INVAL/OFF

28-01-2025 21:36:35            11.482   179769313486232000000000000000000   INVAL/OFF
28-01-2025 22:06:35            11.982   179769313486232000000000000000000   INVAL/OFF
28-01-2025 22:36:35            12.482   179769313486232000000000000000000   INVAL/OFF

28-01-2025 23:06:35            12.982   179769313486232000000000000000000   INVAL/OFF
28-01-2025 23:36:35            13.482   179769313486232000000000000000000   INVAL/OFF

29-01-2025 00:06:35            13.982   179769313486232000000000000000000   INVAL/OFF
29-01-2025 00:36:35            14.482   179769313486232000000000000000000   INVAL/OFF
29-01-2025 01:06:35            14.982   179769313486232000000000000000000   INVAL/OFF

29-01-2025 01:36:35            15.482   179769313486232000000000000000000   INVAL/OFF
29-01-2025 02:06:35            15.982   179769313486232000000000000000000   INVAL/OFF

29-01-2025 02:36:35            16.482   179769313486232000000000000000000   INVAL/OFF
29-01-2025 03:06:35            16.982   179769313486232000000000000000000   INVAL/OFF
29-01-2025 03:36:36            17.482   179769313486232000000000000000000   INVAL/OFF

29-01-2025 04:06:36            17.982   179769313486232000000000000000000   INVAL/OFF


29-01-2025 04:36:36            18.482   179769313486232000000000000000000   INVAL/OFF
29-01-2025 05:06:36            18.982   179769313486232000000000000000000   INVAL/OFF

29-01-2025 05:36:36            19.482   179769313486232000000000000000000   INVAL/OFF
29-01-2025 06:06:36            19.982   179769313486232000000000000000000   INVAL/OFF
29-01-2025 06:36:36            20.482   179769313486232000000000000000000   INVAL/OFF

29-01-2025 07:06:36            20.982   179769313486232000000000000000000   INVAL/OFF
29-01-2025 07:36:36            21.482   179769313486232000000000000000000   INVAL/OFF

29-01-2025 08:06:36            21.982   179769313486232000000000000000000   INVAL/OFF
29-01-2025 08:36:36            22.482   179769313486232000000000000000000   INVAL/OFF
29-01-2025 09:06:36            22.982   179769313486232000000000000000000   INVAL/OFF

29-01-2025 09:36:36            23.482   179769313486232000000000000000000   INVAL/OFF
29-01-2025 10:06:36            23.982   179769313486232000000000000000000   INVAL/OFF

29-01-2025 10:36:36            24.482   179769313486232000000000000000000   INVAL/OFF
29-01-2025 11:06:36            24.982   179769313486232000000000000000000   INVAL/OFF
29-01-2025 11:36:36            25.482   179769313486232000000000000000000   INVAL/OFF

29-01-2025 12:06:36            25.982   179769313486232000000000000000000   INVAL/OFF
29-01-2025 12:36:36            26.482   179769313486232000000000000000000   INVAL/OFF
29-01-2025 13:06:36            26.982   179769313486232000000000000000000   INVAL/OFF

29-01-2025 13:36:36            27.482   179769313486232000000000000000000   INVAL/OFF
29-01-2025 14:06:36            27.982   179769313486232000000000000000000   INVAL/OFF

29-01-2025 14:36:36            28.482   179769313486232000000000000000000   INVAL/OFF
29-01-2025 15:06:36            28.982   179769313486232000000000000000000   INVAL/OFF
29-01-2025 15:36:36            29.482   179769313486232000000000000000000   INVAL/OFF

29-01-2025 16:06:36            29.982   179769313486232000000000000000000   INVAL/OFF
29-01-2025 16:36:36            30.482   179769313486232000000000000000000   INVAL/OFF

29-01-2025 17:06:36            30.982   179769313486232000000000000000000   INVAL/OFF
29-01-2025 17:36:36            31.482   179769313486232000000000000000000   INVAL/OFF
29-01-2025 18:06:36            31.982   179769313486232000000000000000000   INVAL/OFF

29-01-2025 18:36:36            32.482   179769313486232000000000000000000   INVAL/OFF
29-01-2025 19:06:36            32.982   179769313486232000000000000000000   INVAL/OFF

29-01-2025 19:36:36            33.482   179769313486232000000000000000000   INVAL/OFF
29-01-2025 20:06:36            33.982   179769313486232000000000000000000   INVAL/OFF
29-01-2025 20:36:36            34.482   179769313486232000000000000000000   INVAL/OFF

29-01-2025 21:06:36            34.982   179769313486232000000000000000000   INVAL/OFF
29-01-2025 21:36:36            35.482   179769313486232000000000000000000   INVAL/OFF
29-01-2025 22:06:36            35.982   179769313486232000000000000000000   INVAL/OFF

29-01-2025 22:36:36            36.482   179769313486232000000000000000000   INVAL/OFF
29-01-2025 23:06:36            36.982   179769313486232000000000000000000   INVAL/OFF

29-01-2025 23:36:36            37.482   179769313486232000000000000000000   INVAL/OFF
30-01-2025 00:06:36            37.982   179769313486232000000000000000000   INVAL/OFF
30-01-2025 00:36:36            38.482   179769313486232000000000000000000   INVAL/OFF

30-01-2025 01:06:36            38.982   179769313486232000000000000000000   INVAL/OFF
30-01-2025 01:36:36            39.482   179769313486232000000000000000000   INVAL/OFF

30-01-2025 02:06:36            39.982   179769313486232000000000000000000   INVAL/OFF
30-01-2025 02:36:36            40.482   179769313486232000000000000000000   INVAL/OFF
30-01-2025 03:06:36            40.982   179769313486232000000000000000000   INVAL/OFF

30-01-2025 03:36:36            41.482   179769313486232000000000000000000   INVAL/OFF
30-01-2025 04:06:36            41.982   179769313486232000000000000000000   INVAL/OFF

30-01-2025 04:36:36            42.482   179769313486232000000000000000000   INVAL/OFF
30-01-2025 05:06:36            42.982   179769313486232000000000000000000   INVAL/OFF
30-01-2025 05:36:36            43.482   179769313486232000000000000000000   INVAL/OFF

30-01-2025 06:06:36            43.982   179769313486232000000000000000000   INVAL/OFF

30-01-2025 06:36:36            44.482   179769313486232000000000000000000   INVAL/OFF
30-01-2025 07:06:36            44.982   179769313486232000000000000000000   INVAL/OFF

30-01-2025 07:36:36            45.482   179769313486232000000000000000000   INVAL/OFF
30-01-2025 08:06:36            45.982   179769313486232000000000000000000   INVAL/OFF
30-01-2025 08:36:36            46.482   179769313486232000000000000000000   INVAL/OFF

30-01-2025 09:06:36            46.982   179769313486232000000000000000000   INVAL/OFF
30-01-2025 09:36:36            47.482   179769313486232000000000000000000   INVAL/OFF

30-01-2025 10:06:36            47.982   179769313486232000000000000000000   INVAL/OFF
30-01-2025 10:36:36            48.482   179769313486232000000000000000000   INVAL/OFF
30-01-2025 11:06:36            48.982   179769313486232000000000000000000   INVAL/OFF

30-01-2025 11:36:36            49.482   179769313486232000000000000000000   INVAL/OFF
30-01-2025 12:06:36            49.982   179769313486232000000000000000000   INVAL/OFF

30-01-2025 12:36:36            50.482   179769313486232000000000000000000   INVAL/OFF
30-01-2025 13:06:36            50.982   179769313486232000000000000000000   INVAL/OFF
30-01-2025 13:36:36            51.482   179769313486232000000000000000000   INVAL/OFF

30-01-2025 14:06:36            51.982   179769313486232000000000000000000   INVAL/OFF
30-01-2025 14:36:36            52.482   179769313486232000000000000000000   INVAL/OFF
30-01-2025 15:06:36            52.982   179769313486232000000000000000000   INVAL/OFF

30-01-2025 15:36:36            53.482   179769313486232000000000000000000   INVAL/OFF
30-01-2025 16:06:36            53.982   179769313486232000000000000000000   INVAL/OFF

30-01-2025 16:36:36            54.482   179769313486232000000000000000000   INVAL/OFF
30-01-2025 17:06:37            54.983   179769313486232000000000000000000   INVAL/OFF
30-01-2025 17:36:37            55.483   179769313486232000000000000000000   INVAL/OFF

30-01-2025 18:06:37            55.982   179769313486232000000000000000000   INVAL/OFF
30-01-2025 18:36:38            56.483   179769313486232000000000000000000   INVAL/OFF

30-01-2025 19:06:38            56.983   179769313486232000000000000000000   INVAL/OFF
30-01-2025 19:36:38            57.483   179769313486232000000000000000000   INVAL/OFF
30-01-2025 20:06:38            57.983   179769313486232000000000000000000   INVAL/OFF

30-01-2025 20:36:38            58.483   179769313486232000000000000000000   INVAL/OFF
30-01-2025 21:06:38            58.983   179769313486232000000000000000000   INVAL/OFF

30-01-2025 21:36:38            59.483   179769313486232000000000000000000   INVAL/OFF
30-01-2025 22:06:38            59.983   179769313486232000000000000000000   INVAL/OFF
30-01-2025 22:36:38            60.483   179769313486232000000000000000000   INVAL/OFF

30-01-2025 23:06:38            60.983   179769313486232000000000000000000   INVAL/OFF
30-01-2025 23:36:38            61.483   179769313486232000000000000000000   INVAL/OFF
31-01-2025 00:06:38            61.983   179769313486232000000000000000000   INVAL/OFF

