
                                              MFCS/win                    Report printed:                2024-11-03 12:49:25
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat22_control                   Batch created:            2024-10-30 16:46:55

 Experiment Start:          2024-10-30 16:46:55                 Experiment Stop:          2024-11-03 12:10:26

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                  EXT_F
                                                        %
  Data
                                                      Value


 Date    /  Time                Age

02-11-2024 10:46:56            66.000                  23.8
02-11-2024 11:16:56            66.500                  24.0

02-11-2024 11:46:56            67.000                  24.2
02-11-2024 12:16:56            67.500                  24.5

02-11-2024 12:46:56            68.000                  24.6
02-11-2024 13:16:56            68.500                  25.2
02-11-2024 13:46:56            69.000                  25.0

02-11-2024 14:16:56            69.500                  25.3

02-11-2024 14:46:56            70.000                  25.5
02-11-2024 15:16:56            70.500                  25.7

02-11-2024 15:46:56            71.000                  25.8
02-11-2024 16:16:56            71.500                  25.9
02-11-2024 16:46:56            72.000                  26.3

02-11-2024 17:16:56            72.500                  26.6
02-11-2024 17:46:56            73.000                  26.5

02-11-2024 18:16:56            73.500                  26.8
02-11-2024 18:46:56            74.000                  26.8
02-11-2024 19:16:56            74.500                  27.0

02-11-2024 19:46:56            75.000                  27.4
02-11-2024 20:16:56            75.500                  27.5

02-11-2024 20:46:56            76.000                  27.7
02-11-2024 21:16:56            76.500                  27.8
02-11-2024 21:46:56            77.000                  28.2

02-11-2024 22:16:56            77.500                  28.3
02-11-2024 22:46:56            78.000                  28.6
02-11-2024 23:16:56            78.500                  28.6

02-11-2024 23:46:56            79.000                  28.7
03-11-2024 00:16:56            79.500                  29.1

03-11-2024 00:46:56            80.000                  29.3
03-11-2024 01:16:56            80.500                  29.4
03-11-2024 01:16:56            80.500                  29.6

03-11-2024 01:46:56            81.000                  29.7
03-11-2024 01:46:56            81.000                  29.8

03-11-2024 02:16:56            81.500                  30.2
03-11-2024 02:46:56            82.000                  30.2
03-11-2024 03:16:56            82.500                  30.6

03-11-2024 03:46:56            83.000                  30.6
03-11-2024 04:16:56            83.500                  31.2

03-11-2024 04:46:56            84.000                  31.3
03-11-2024 05:16:56            84.500                  31.6
03-11-2024 05:46:56            85.000                  31.5

03-11-2024 06:16:56            85.500                  31.8
03-11-2024 06:46:56            86.000                  32.0
03-11-2024 07:16:56            86.500                  32.0

03-11-2024 07:46:56            87.000                  32.4
03-11-2024 08:16:56            87.500                  32.5

03-11-2024 08:46:56            88.000                  32.8
03-11-2024 09:16:56            88.500                  32.8
03-11-2024 09:46:56            89.000                  32.9

03-11-2024 10:16:56            89.500                  33.1
03-11-2024 10:46:56            90.000                  33.3

03-11-2024 11:16:56            90.500                  33.4
03-11-2024 11:46:56            91.000                  33.5
03-11-2024 12:10:24            91.391                  33.7
