
                                              MFCS/win                    Report printed:                2024-12-10 09:24:45
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                BIOSTAT26_BDCU_2                    Batch created:            2024-11-27 12:32:22

 Experiment Start:          2024-11-27 12:32:22                 Experiment Stop:          2024-12-01 10:06:13

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                  STIRR
                                                    rpm
  Data
                                                     Setpoint


 Date    /  Time                Age

27-11-2024 12:32:23             0.000                  600

27-11-2024 12:38:23             0.100                  600
27-11-2024 12:38:38             0.104                  400
27-11-2024 13:02:23             0.500                  400

27-11-2024 13:32:23             1.000                  400
27-11-2024 14:02:23             1.500                  400
27-11-2024 14:32:23             2.000                  400

27-11-2024 15:02:23             2.500                  400
27-11-2024 15:32:23             3.000                  400

27-11-2024 16:02:23             3.500                  400
27-11-2024 16:32:23             4.000                  400
27-11-2024 17:02:23             4.500                  400

27-11-2024 17:32:23             5.000                  400
27-11-2024 18:00:44             5.473                  403

27-11-2024 18:00:59             5.477                  403
27-11-2024 18:02:23             5.500                  404
27-11-2024 18:04:14             5.531                  403

27-11-2024 18:04:29             5.535                  401
27-11-2024 18:07:44             5.589                  404

27-11-2024 18:07:59             5.594                  405
27-11-2024 18:14:14             5.698                  407
27-11-2024 18:14:29             5.702                  408

27-11-2024 18:15:14             5.714                  405
27-11-2024 18:15:29             5.719                  404
27-11-2024 18:19:14             5.781                  407

27-11-2024 18:19:29             5.785                  407
27-11-2024 18:29:29             5.952                  410

27-11-2024 18:29:44             5.956                  411
27-11-2024 18:32:23             6.000                  413
27-11-2024 18:39:59             6.127                  416

27-11-2024 18:40:14             6.131                  416
27-11-2024 18:45:59             6.227                  415

27-11-2024 18:46:14             6.231                  413
27-11-2024 18:46:29             6.235                  411
27-11-2024 18:46:44             6.239                  409

27-11-2024 18:47:14             6.248                  409


27-11-2024 18:47:29             6.252                  412
27-11-2024 18:47:44             6.256                  415

27-11-2024 18:47:59             6.260                  416
27-11-2024 18:48:14             6.264                  418
27-11-2024 18:48:29             6.269                  419

27-11-2024 19:01:29             6.485                  422
27-11-2024 19:01:44             6.489                  424

27-11-2024 19:02:23             6.500                  426
27-11-2024 19:03:44             6.523                  425
27-11-2024 19:03:59             6.527                  422

27-11-2024 19:04:14             6.531                  420
27-11-2024 19:04:29             6.535                  418

27-11-2024 19:06:29             6.569                  421
27-11-2024 19:06:44             6.573                  422
27-11-2024 19:07:29             6.585                  424

27-11-2024 19:07:44             6.589                  425
27-11-2024 19:12:44             6.673                  423
27-11-2024 19:12:59             6.677                  422

27-11-2024 19:15:14             6.714                  425
27-11-2024 19:15:29             6.719                  425

27-11-2024 19:16:14             6.731                  428
27-11-2024 19:16:29             6.735                  429
27-11-2024 19:20:44             6.806                  426

27-11-2024 19:20:59             6.810                  425
27-11-2024 19:22:44             6.839                  427

27-11-2024 19:22:59             6.844                  428
27-11-2024 19:24:29             6.869                  431
27-11-2024 19:24:44             6.873                  432

27-11-2024 19:26:59             6.910                  429
27-11-2024 19:27:14             6.914                  429

27-11-2024 19:29:59             6.960                  430
27-11-2024 19:30:14             6.964                  432
27-11-2024 19:30:44             6.973                  434

27-11-2024 19:30:59             6.977                  435
27-11-2024 19:31:59             6.994                  433
27-11-2024 19:32:14             6.998                  432

27-11-2024 19:32:23             7.000                  432
27-11-2024 19:38:29             7.102                  435

27-11-2024 19:38:44             7.106                  435
27-11-2024 19:47:14             7.248                  438
27-11-2024 19:47:29             7.252                  439

27-11-2024 19:51:45             7.323                  436
27-11-2024 19:52:00             7.327                  436

27-11-2024 19:54:30             7.369                  437
27-11-2024 19:54:45             7.373                  439
27-11-2024 19:56:00             7.394                  441

27-11-2024 19:56:15             7.398                  442
27-11-2024 19:59:00             7.444                  439

27-11-2024 19:59:15             7.448                  438
27-11-2024 20:02:23             7.500                  440
27-11-2024 20:05:00             7.544                  442

27-11-2024 20:05:15             7.548                  443

27-11-2024 20:06:30             7.569                  446
27-11-2024 20:06:45             7.573                  446

27-11-2024 20:08:30             7.602                  444
27-11-2024 20:08:45             7.606                  443
27-11-2024 20:14:00             7.694                  443

27-11-2024 20:14:15             7.698                  447
27-11-2024 20:28:45             7.940                  450

27-11-2024 20:29:00             7.944                  450
27-11-2024 20:32:23             8.000                  449
27-11-2024 20:33:45             8.023                  451

27-11-2024 20:34:00             8.027                  452
27-11-2024 20:35:45             8.056                  455

27-11-2024 20:36:00             8.061                  455
27-11-2024 20:37:45             8.090                  453
27-11-2024 20:38:00             8.094                  452

27-11-2024 20:41:15             8.148                  455
27-11-2024 20:41:30             8.152                  455
27-11-2024 20:43:00             8.177                  455

27-11-2024 20:43:15             8.181                  452
27-11-2024 20:43:30             8.186                  455

27-11-2024 20:43:45             8.190                  456
27-11-2024 20:50:15             8.298                  458
27-11-2024 20:50:30             8.302                  460

27-11-2024 20:52:00             8.327                  458
27-11-2024 20:52:15             8.331                  457

27-11-2024 20:55:00             8.377                  457
27-11-2024 20:55:15             8.381                  461
27-11-2024 21:02:23             8.500                  461

27-11-2024 21:04:00             8.527                  463
27-11-2024 21:04:15             8.531                  464

27-11-2024 21:14:47             8.707                  467
27-11-2024 21:15:02             8.711                  467
27-11-2024 21:26:17             8.899                  470

27-11-2024 21:26:32             8.903                  470
27-11-2024 21:27:17             8.915                  472
27-11-2024 21:27:32             8.919                  473

27-11-2024 21:30:02             8.961                  471
27-11-2024 21:30:17             8.965                  469

27-11-2024 21:32:23             9.000                  469
27-11-2024 21:33:32             9.019                  472
27-11-2024 21:33:47             9.024                  473

27-11-2024 21:38:33             9.103                  470
27-11-2024 21:38:48             9.107                  469

27-11-2024 21:39:18             9.116                  471
27-11-2024 21:39:34             9.120                  474
27-11-2024 21:44:34             9.203                  477

27-11-2024 21:44:49             9.207                  477
27-11-2024 21:49:34             9.287                  479

27-11-2024 21:49:49             9.291                  480
27-11-2024 21:50:34             9.303                  478
27-11-2024 21:50:49             9.307                  477

27-11-2024 21:57:05             9.412                  480

27-11-2024 21:57:20             9.416                  480
27-11-2024 21:58:35             9.437                  478

27-11-2024 21:58:50             9.441                  477
27-11-2024 22:01:20             9.483                  479
27-11-2024 22:01:35             9.487                  482

27-11-2024 22:02:23             9.500                  481
27-11-2024 22:11:20             9.649                  483

27-11-2024 22:11:35             9.654                  484
27-11-2024 22:22:35             9.837                  486
27-11-2024 22:22:50             9.841                  487

27-11-2024 22:24:50             9.874                  485
27-11-2024 22:25:05             9.879                  484

27-11-2024 22:26:35             9.904                  486
27-11-2024 22:26:50             9.908                  488
27-11-2024 22:31:35             9.987                  485

27-11-2024 22:31:50             9.991                  485
27-11-2024 22:32:23            10.000                  485
27-11-2024 22:33:50            10.024                  487

27-11-2024 22:34:05            10.029                  488
27-11-2024 22:37:20            10.083                  486

27-11-2024 22:37:35            10.087                  485
27-11-2024 22:38:20            10.099                  488
27-11-2024 22:38:35            10.104                  490

27-11-2024 22:42:35            10.170                  487
27-11-2024 22:42:50            10.174                  487

27-11-2024 22:43:20            10.183                  489
27-11-2024 22:43:35            10.187                  490
27-11-2024 22:44:05            10.195                  491

27-11-2024 22:44:20            10.199                  493
27-11-2024 22:46:35            10.237                  492

27-11-2024 22:46:50            10.241                  490
27-11-2024 22:47:20            10.249                  488
27-11-2024 22:47:35            10.254                  487

27-11-2024 22:49:20            10.283                  489
27-11-2024 22:49:35            10.287                  491
27-11-2024 22:55:20            10.383                  493

27-11-2024 22:55:35            10.387                  494
27-11-2024 22:59:05            10.445                  491

27-11-2024 22:59:20            10.449                  490
27-11-2024 23:01:20            10.483                  493
27-11-2024 23:01:35            10.487                  494

27-11-2024 23:02:23            10.500                  494
27-11-2024 23:09:50            10.624                  491

27-11-2024 23:10:05            10.629                  491
27-11-2024 23:10:35            10.637                  493
27-11-2024 23:10:50            10.641                  495

27-11-2024 23:11:20            10.649                  497
27-11-2024 23:11:35            10.654                  498

27-11-2024 23:14:51            10.708                  497
27-11-2024 23:15:06            10.712                  495
27-11-2024 23:19:06            10.779                  498

27-11-2024 23:19:21            10.783                  499

27-11-2024 23:27:21            10.916                  497
27-11-2024 23:27:36            10.921                  495

27-11-2024 23:29:36            10.954                  497
27-11-2024 23:29:51            10.958                  498
27-11-2024 23:32:23            11.000                  501

27-11-2024 23:35:36            11.054                  498
27-11-2024 23:35:51            11.058                  497

27-11-2024 23:38:21            11.100                  500
27-11-2024 23:38:36            11.104                  501
27-11-2024 23:40:51            11.141                  499

27-11-2024 23:41:06            11.146                  497
27-11-2024 23:42:51            11.175                  499

27-11-2024 23:43:06            11.179                  501
27-11-2024 23:47:51            11.258                  498
27-11-2024 23:48:07            11.262                  497

27-11-2024 23:48:22            11.267                  497
27-11-2024 23:48:37            11.271                  500
27-11-2024 23:49:37            11.288                  502

27-11-2024 23:49:52            11.292                  503
27-11-2024 23:56:23            11.400                  500

27-11-2024 23:56:38            11.404                  500
27-11-2024 23:58:53            11.442                  500
27-11-2024 23:59:08            11.446                  503

28-11-2024 00:02:23            11.500                  501
28-11-2024 00:07:09            11.580                  503

28-11-2024 00:07:24            11.584                  504
28-11-2024 00:07:54            11.592                  502
28-11-2024 00:08:09            11.596                  500

28-11-2024 00:08:54            11.609                  503
28-11-2024 00:09:09            11.613                  504

28-11-2024 00:19:39            11.788                  506
28-11-2024 00:19:54            11.792                  507
28-11-2024 00:20:54            11.809                  504

28-11-2024 00:21:09            11.813                  503
28-11-2024 00:23:09            11.846                  506
28-11-2024 00:23:24            11.851                  507

28-11-2024 00:24:39            11.871                  505
28-11-2024 00:24:54            11.876                  504

28-11-2024 00:27:24            11.917                  505
28-11-2024 00:27:39            11.921                  507
28-11-2024 00:32:23            12.000                  506

28-11-2024 00:34:09            12.030                  503
28-11-2024 00:34:24            12.034                  503

28-11-2024 00:34:54            12.042                  502
28-11-2024 00:35:09            12.046                  507
28-11-2024 00:37:24            12.084                  505

28-11-2024 00:37:39            12.088                  501
28-11-2024 00:38:39            12.105                  504

28-11-2024 00:38:54            12.109                  505
28-11-2024 00:42:54            12.176                  508
28-11-2024 00:43:09            12.180                  508

28-11-2024 00:44:09            12.196                  506

28-11-2024 00:44:24            12.201                  505
28-11-2024 00:52:09            12.330                  507

28-11-2024 00:52:24            12.334                  509
28-11-2024 00:54:09            12.363                  507
28-11-2024 00:54:24            12.367                  506

28-11-2024 00:55:09            12.380                  503
28-11-2024 00:55:24            12.384                  503

28-11-2024 00:56:54            12.409                  506
28-11-2024 00:57:09            12.413                  507
28-11-2024 01:02:23            12.500                  509

28-11-2024 01:04:54            12.542                  506
28-11-2024 01:05:09            12.546                  506

28-11-2024 01:07:09            12.580                  509
28-11-2024 01:07:24            12.584                  509
28-11-2024 01:09:24            12.617                  506

28-11-2024 01:09:39            12.621                  506
28-11-2024 01:11:24            12.651                  508
28-11-2024 01:11:39            12.655                  509

28-11-2024 01:13:54            12.692                  507
28-11-2024 01:14:09            12.696                  506

28-11-2024 01:16:09            12.730                  508
28-11-2024 01:16:24            12.734                  509
28-11-2024 01:24:39            12.871                  508

28-11-2024 01:24:54            12.876                  506
28-11-2024 01:28:39            12.938                  508

28-11-2024 01:28:54            12.942                  509
28-11-2024 01:30:54            12.976                  507
28-11-2024 01:31:09            12.980                  506

28-11-2024 01:32:23            13.000                  507
28-11-2024 01:36:25            13.068                  508

28-11-2024 01:36:40            13.072                  510
28-11-2024 01:37:40            13.088                  508
28-11-2024 01:37:55            13.092                  507

28-11-2024 01:40:40            13.138                  510
28-11-2024 01:40:55            13.142                  511
28-11-2024 01:43:55            13.193                  508

28-11-2024 01:44:10            13.197                  507
28-11-2024 01:46:55            13.243                  510

28-11-2024 01:47:10            13.247                  511
28-11-2024 01:49:10            13.280                  508
28-11-2024 01:49:25            13.284                  508

28-11-2024 01:51:40            13.322                  510
28-11-2024 01:51:55            13.326                  511

28-11-2024 01:53:40            13.355                  509
28-11-2024 01:53:55            13.359                  507
28-11-2024 01:54:25            13.367                  505

28-11-2024 01:54:40            13.372                  504
28-11-2024 01:55:10            13.380                  504

28-11-2024 01:55:25            13.384                  508
28-11-2024 01:56:25            13.401                  510
28-11-2024 01:56:40            13.405                  511

28-11-2024 02:02:23            13.500                  510

28-11-2024 02:05:10            13.547                  507
28-11-2024 02:05:25            13.551                  507

28-11-2024 02:06:55            13.576                  509
28-11-2024 02:07:10            13.580                  510
28-11-2024 02:11:55            13.659                  508

28-11-2024 02:12:10            13.663                  507
28-11-2024 02:12:55            13.676                  509

28-11-2024 02:13:10            13.680                  510
28-11-2024 02:14:10            13.697                  508
28-11-2024 02:14:25            13.701                  507

28-11-2024 02:19:25            13.784                  509
28-11-2024 02:19:40            13.788                  510

28-11-2024 02:23:40            13.855                  508
28-11-2024 02:23:55            13.859                  506
28-11-2024 02:24:10            13.863                  509

28-11-2024 02:31:56            13.993                  506
28-11-2024 02:32:11            13.997                  506
28-11-2024 02:32:23            14.000                  505

28-11-2024 02:33:26            14.018                  508
28-11-2024 02:33:41            14.022                  509

28-11-2024 02:52:26            14.334                  507
28-11-2024 02:52:41            14.339                  506
28-11-2024 02:59:11            14.447                  509

28-11-2024 02:59:26            14.451                  510
28-11-2024 03:00:41            14.472                  509

28-11-2024 03:00:56            14.476                  507
28-11-2024 03:01:11            14.480                  505
28-11-2024 03:01:26            14.484                  504

28-11-2024 03:02:23            14.500                  503
28-11-2024 03:03:56            14.526                  505

28-11-2024 03:04:11            14.530                  506
28-11-2024 03:11:56            14.659                  504
28-11-2024 03:12:11            14.664                  503

28-11-2024 03:14:26            14.701                  505
28-11-2024 03:14:41            14.705                  506
28-11-2024 03:15:11            14.714                  509

28-11-2024 03:15:26            14.718                  509
28-11-2024 03:17:26            14.751                  507

28-11-2024 03:17:41            14.755                  506
28-11-2024 03:22:26            14.834                  505
28-11-2024 03:22:41            14.839                  502

28-11-2024 03:30:41            14.972                  503
28-11-2024 03:30:56            14.976                  506

28-11-2024 03:31:11            14.980                  508
28-11-2024 03:31:26            14.984                  509
28-11-2024 03:31:56            14.993                  507

28-11-2024 03:32:11            14.997                  506
28-11-2024 03:32:23            15.000                  504

28-11-2024 03:32:41            15.005                  503
28-11-2024 03:32:56            15.009                  499
28-11-2024 03:34:26            15.034                  502

28-11-2024 03:34:41            15.039                  503

28-11-2024 03:40:11            15.130                  505
28-11-2024 03:40:26            15.134                  507

28-11-2024 03:41:11            15.147                  505
28-11-2024 03:41:26            15.151                  503
28-11-2024 03:41:56            15.159                  501

28-11-2024 03:42:11            15.164                  500
28-11-2024 03:44:11            15.197                  502

28-11-2024 03:44:26            15.201                  504
28-11-2024 03:45:56            15.226                  502
28-11-2024 03:46:11            15.230                  500

28-11-2024 03:47:56            15.259                  503
28-11-2024 03:48:11            15.264                  503

28-11-2024 03:50:41            15.305                  501
28-11-2024 03:50:56            15.309                  499
28-11-2024 03:53:41            15.355                  502

28-11-2024 03:53:56            15.359                  503
28-11-2024 03:55:11            15.380                  501
28-11-2024 03:55:26            15.384                  500

28-11-2024 03:59:11            15.447                  498
28-11-2024 03:59:26            15.451                  497

28-11-2024 04:02:23            15.500                  500
28-11-2024 04:02:41            15.505                  497
28-11-2024 04:02:56            15.509                  496

28-11-2024 04:04:11            15.530                  498
28-11-2024 04:04:26            15.534                  499

28-11-2024 04:04:56            15.543                  501
28-11-2024 04:05:11            15.547                  503
28-11-2024 04:06:11            15.564                  500

28-11-2024 04:06:26            15.568                  498
28-11-2024 04:10:11            15.630                  497

28-11-2024 04:10:26            15.634                  495
28-11-2024 04:10:41            15.639                  498
28-11-2024 04:21:41            15.822                  497

28-11-2024 04:21:56            15.826                  495
28-11-2024 04:22:11            15.830                  495
28-11-2024 04:22:26            15.834                  498

28-11-2024 04:32:23            16.000                  498
28-11-2024 04:33:11            16.014                  501

28-11-2024 04:33:26            16.018                  502
28-11-2024 04:38:11            16.097                  504
28-11-2024 04:38:26            16.101                  505

28-11-2024 04:38:56            16.109                  503
28-11-2024 04:39:11            16.114                  502

28-11-2024 04:44:57            16.210                  499
28-11-2024 04:45:12            16.214                  499
28-11-2024 04:45:42            16.222                  500

28-11-2024 04:45:57            16.226                  502
28-11-2024 04:46:12            16.231                  503

28-11-2024 04:46:27            16.235                  505
28-11-2024 04:47:42            16.256                  504
28-11-2024 04:47:57            16.260                  502

28-11-2024 04:49:27            16.285                  499

28-11-2024 04:49:42            16.289                  499
28-11-2024 04:51:42            16.322                  501

28-11-2024 04:51:57            16.326                  502
28-11-2024 04:53:43            16.356                  499
28-11-2024 04:53:58            16.360                  497

28-11-2024 04:55:13            16.381                  500
28-11-2024 04:55:28            16.385                  501

28-11-2024 04:56:58            16.410                  501
28-11-2024 04:57:13            16.414                  498
28-11-2024 04:57:28            16.418                  495

28-11-2024 04:58:28            16.435                  496
28-11-2024 04:58:43            16.439                  498

28-11-2024 04:58:58            16.443                  501
28-11-2024 04:59:13            16.447                  503
28-11-2024 04:59:28            16.452                  505

28-11-2024 04:59:43            16.456                  503
28-11-2024 04:59:58            16.460                  498
28-11-2024 05:00:58            16.477                  496

28-11-2024 05:01:13            16.481                  492
28-11-2024 05:01:28            16.485                  494

28-11-2024 05:01:43            16.489                  496
28-11-2024 05:01:58            16.493                  498
28-11-2024 05:02:13            16.497                  502

28-11-2024 05:02:23            16.500                  503
28-11-2024 05:03:28            16.518                  501

28-11-2024 05:03:43            16.523                  500
28-11-2024 05:04:13            16.531                  498
28-11-2024 05:04:28            16.535                  497

28-11-2024 05:05:13            16.547                  498
28-11-2024 05:05:28            16.552                  500

28-11-2024 05:05:43            16.556                  502
28-11-2024 05:05:58            16.560                  505
28-11-2024 05:06:13            16.564                  507

28-11-2024 05:06:28            16.568                  509
28-11-2024 05:07:13            16.581                  508
28-11-2024 05:07:28            16.585                  506

28-11-2024 05:07:43            16.589                  502
28-11-2024 05:07:58            16.593                  499

28-11-2024 05:08:13            16.597                  496
28-11-2024 05:08:28            16.602                  495
28-11-2024 05:09:13            16.614                  498

28-11-2024 05:09:28            16.618                  499
28-11-2024 05:09:58            16.627                  501

28-11-2024 05:10:13            16.631                  502
28-11-2024 05:11:58            16.660                  504
28-11-2024 05:12:13            16.664                  505

28-11-2024 05:12:58            16.677                  503
28-11-2024 05:13:13            16.681                  502

28-11-2024 05:13:28            16.685                  499
28-11-2024 05:13:43            16.689                  498
28-11-2024 05:15:44            16.723                  500

28-11-2024 05:15:59            16.727                  501

28-11-2024 05:20:15            16.798                  499
28-11-2024 05:20:30            16.802                  497

28-11-2024 05:22:15            16.831                  500
28-11-2024 05:22:30            16.836                  500
28-11-2024 05:27:46            16.923                  497

28-11-2024 05:28:01            16.928                  497
28-11-2024 05:32:23            17.000                  498

28-11-2024 05:33:16            17.015                  495
28-11-2024 05:33:31            17.019                  494
28-11-2024 05:35:31            17.052                  497

28-11-2024 05:35:46            17.057                  498
28-11-2024 05:37:16            17.082                  497

28-11-2024 05:37:31            17.086                  494
28-11-2024 05:37:46            17.090                  492
28-11-2024 05:38:01            17.094                  491

28-11-2024 05:39:16            17.115                  494
28-11-2024 05:39:32            17.119                  495
28-11-2024 05:39:47            17.124                  496

28-11-2024 05:40:02            17.128                  498
28-11-2024 05:40:17            17.132                  501

28-11-2024 05:40:32            17.136                  504
28-11-2024 05:40:47            17.140                  509
28-11-2024 05:41:02            17.144                  513

28-11-2024 05:41:17            17.149                  518
28-11-2024 05:41:32            17.153                  521

28-11-2024 05:41:47            17.157                  524
28-11-2024 05:42:47            17.174                  522
28-11-2024 05:43:02            17.178                  521

28-11-2024 05:43:17            17.182                  519
28-11-2024 05:43:32            17.186                  518

28-11-2024 05:44:32            17.203                  520
28-11-2024 05:44:47            17.207                  521
28-11-2024 05:45:47            17.224                  519

28-11-2024 05:46:02            17.228                  517
28-11-2024 05:51:17            17.315                  515
28-11-2024 05:51:32            17.319                  513

28-11-2024 05:53:32            17.353                  510
28-11-2024 05:53:47            17.357                  510

28-11-2024 05:56:32            17.403                  508
28-11-2024 05:56:47            17.407                  507
28-11-2024 05:58:02            17.428                  504

28-11-2024 05:58:17            17.432                  504
28-11-2024 05:58:32            17.436                  503

28-11-2024 05:58:47            17.440                  509
28-11-2024 05:59:02            17.444                  511
28-11-2024 05:59:17            17.449                  512

28-11-2024 05:59:47            17.457                  510
28-11-2024 06:00:02            17.461                  509

28-11-2024 06:00:47            17.474                  506
28-11-2024 06:01:02            17.478                  506
28-11-2024 06:02:23            17.500                  507

28-11-2024 06:03:32            17.519                  504

28-11-2024 06:03:47            17.524                  504
28-11-2024 06:05:47            17.557                  506

28-11-2024 06:06:02            17.561                  509
28-11-2024 06:07:47            17.590                  506
28-11-2024 06:08:02            17.594                  504

28-11-2024 06:08:17            17.599                  502
28-11-2024 06:08:32            17.603                  501

28-11-2024 06:08:47            17.607                  498
28-11-2024 06:09:32            17.619                  501
28-11-2024 06:09:47            17.624                  502

28-11-2024 06:10:02            17.628                  503
28-11-2024 06:10:17            17.632                  505

28-11-2024 06:11:47            17.657                  503
28-11-2024 06:12:02            17.661                  502
28-11-2024 06:12:17            17.665                  500

28-11-2024 06:12:32            17.669                  498
28-11-2024 06:13:32            17.686                  500
28-11-2024 06:13:47            17.690                  502

28-11-2024 06:14:02            17.694                  503
28-11-2024 06:14:17            17.699                  505

28-11-2024 06:15:02            17.711                  504
28-11-2024 06:15:17            17.715                  500
28-11-2024 06:18:02            17.761                  497

28-11-2024 06:18:17            17.765                  495
28-11-2024 06:19:47            17.790                  498

28-11-2024 06:20:02            17.794                  499
28-11-2024 06:23:18            17.849                  496
28-11-2024 06:23:33            17.853                  496

28-11-2024 06:25:03            17.878                  498
28-11-2024 06:25:18            17.882                  499

28-11-2024 06:25:48            17.891                  497
28-11-2024 06:26:03            17.895                  496
28-11-2024 06:28:03            17.928                  498

28-11-2024 06:28:18            17.932                  502
28-11-2024 06:28:33            17.936                  507
28-11-2024 06:28:48            17.941                  512

28-11-2024 06:29:03            17.945                  516
28-11-2024 06:29:18            17.949                  520

28-11-2024 06:29:33            17.953                  525
28-11-2024 06:29:48            17.957                  529
28-11-2024 06:30:04            17.962                  532

28-11-2024 06:30:19            17.966                  534
28-11-2024 06:30:34            17.970                  536

28-11-2024 06:32:04            17.995                  538
28-11-2024 06:32:19            17.999                  539
28-11-2024 06:32:23            18.000                  539

28-11-2024 06:34:04            18.028                  541
28-11-2024 06:34:19            18.032                  542

28-11-2024 06:37:19            18.082                  540
28-11-2024 06:37:34            18.087                  539
28-11-2024 06:37:49            18.091                  536

28-11-2024 06:38:04            18.095                  534

28-11-2024 06:38:19            18.099                  533
28-11-2024 06:41:04            18.145                  535

28-11-2024 06:41:19            18.149                  536
28-11-2024 06:43:49            18.191                  534
28-11-2024 06:44:04            18.195                  532

28-11-2024 06:44:19            18.199                  529
28-11-2024 06:44:34            18.203                  527

28-11-2024 06:51:04            18.312                  529
28-11-2024 06:51:19            18.316                  532
28-11-2024 06:51:34            18.320                  535

28-11-2024 06:51:49            18.324                  537
28-11-2024 06:52:04            18.328                  538

28-11-2024 06:52:19            18.333                  541
28-11-2024 06:53:34            18.353                  538
28-11-2024 06:53:49            18.357                  537

28-11-2024 06:59:50            18.458                  534
28-11-2024 07:00:05            18.462                  534
28-11-2024 07:02:05            18.495                  531

28-11-2024 07:02:20            18.499                  531
28-11-2024 07:02:23            18.500                  531

28-11-2024 07:03:35            18.520                  532
28-11-2024 07:03:50            18.524                  534
28-11-2024 07:05:35            18.554                  532

28-11-2024 07:05:50            18.558                  530
28-11-2024 07:06:20            18.566                  528

28-11-2024 07:06:35            18.570                  527
28-11-2024 07:09:50            18.624                  524
28-11-2024 07:10:05            18.629                  523

28-11-2024 07:11:51            18.658                  525
28-11-2024 07:12:06            18.662                  526

28-11-2024 07:13:21            18.683                  525
28-11-2024 07:13:36            18.687                  522
28-11-2024 07:14:36            18.704                  520

28-11-2024 07:14:51            18.708                  518
28-11-2024 07:19:06            18.779                  515
28-11-2024 07:19:21            18.783                  515

28-11-2024 07:19:36            18.787                  518
28-11-2024 07:19:51            18.791                  520

28-11-2024 07:20:06            18.796                  521
28-11-2024 07:20:21            18.800                  524
28-11-2024 07:20:36            18.804                  526

28-11-2024 07:20:51            18.808                  527
28-11-2024 07:21:06            18.812                  529

28-11-2024 07:21:21            18.816                  531
28-11-2024 07:21:36            18.821                  532
28-11-2024 07:22:36            18.837                  530

28-11-2024 07:22:51            18.841                  529
28-11-2024 07:23:21            18.850                  527

28-11-2024 07:23:36            18.854                  526
28-11-2024 07:24:21            18.866                  527
28-11-2024 07:24:36            18.871                  530

28-11-2024 07:26:06            18.896                  532

28-11-2024 07:26:21            18.900                  534
28-11-2024 07:27:36            18.921                  537

28-11-2024 07:27:51            18.925                  540
28-11-2024 07:28:51            18.941                  542
28-11-2024 07:29:06            18.946                  543

28-11-2024 07:31:51            18.991                  541
28-11-2024 07:32:06            18.996                  539

28-11-2024 07:32:23            19.000                  540
28-11-2024 07:35:51            19.058                  537
28-11-2024 07:36:06            19.062                  533

28-11-2024 07:37:36            19.087                  535
28-11-2024 07:37:51            19.091                  536

28-11-2024 07:39:36            19.121                  533
28-11-2024 07:39:51            19.125                  533
28-11-2024 07:40:21            19.133                  531

28-11-2024 07:40:36            19.137                  530
28-11-2024 07:41:21            19.150                  527
28-11-2024 07:41:36            19.154                  526

28-11-2024 07:47:21            19.250                  524
28-11-2024 07:47:36            19.254                  523

28-11-2024 07:48:06            19.262                  521
28-11-2024 07:48:21            19.266                  520
28-11-2024 07:52:36            19.337                  518

28-11-2024 07:52:51            19.341                  516
28-11-2024 07:53:06            19.346                  513

28-11-2024 07:53:21            19.350                  512
28-11-2024 07:54:21            19.366                  515
28-11-2024 07:54:36            19.371                  516

28-11-2024 07:55:21            19.383                  518
28-11-2024 07:55:36            19.387                  520

28-11-2024 07:56:21            19.400                  518
28-11-2024 07:56:36            19.404                  517
28-11-2024 07:58:06            19.429                  514

28-11-2024 07:58:21            19.433                  514
28-11-2024 07:59:36            19.454                  516
28-11-2024 07:59:51            19.458                  517

28-11-2024 08:01:06            19.479                  515
28-11-2024 08:01:21            19.483                  514

28-11-2024 08:02:23            19.500                  515
28-11-2024 08:03:06            19.512                  512
28-11-2024 08:03:21            19.516                  511

28-11-2024 08:05:06            19.546                  513
28-11-2024 08:05:21            19.550                  514

28-11-2024 08:06:51            19.575                  512
28-11-2024 08:07:06            19.579                  511
28-11-2024 08:08:36            19.604                  513

28-11-2024 08:08:51            19.608                  514
28-11-2024 08:11:21            19.650                  511

28-11-2024 08:11:36            19.654                  511
28-11-2024 08:14:21            19.700                  508
28-11-2024 08:14:36            19.704                  508

28-11-2024 08:15:51            19.725                  510

28-11-2024 08:16:06            19.729                  512
28-11-2024 08:17:51            19.758                  509

28-11-2024 08:18:06            19.762                  508
28-11-2024 08:31:51            19.991                  506
28-11-2024 08:32:06            19.996                  505

28-11-2024 08:32:23            20.000                  504
28-11-2024 08:33:06            20.012                  507

28-11-2024 08:33:21            20.016                  508
28-11-2024 08:34:21            20.033                  505
28-11-2024 08:34:36            20.037                  505

28-11-2024 08:36:06            20.062                  507
28-11-2024 08:36:21            20.066                  508

28-11-2024 08:39:06            20.112                  506
28-11-2024 08:39:21            20.116                  505
